comments,date,translated_comments,cleaned_comments
Wagka omowe dahil sigurado may banta na buhay mo para mapagtakpan Ang kasalanang kagagawan ninyo,11/19/2025,Wagka omowe because there is sure to be a threat to your life to cover up the sin you have committed,wagka omowe sure threat life cover sin committed
"Mas ok ung ganito na raw unedited kesa ung may pahighlights highlights pa na eme may pasabog whoooshh whooosshhh effects. Mas mukhang sincere Ang ganito. Btw hinihintay ko insert ulit ung picture ng maleta, sabi eh naedit daw ung dates na unang pinakita",11/19/2025,"It is said that this unedited is better than the one with highlights and highlights that have explosive whoooshh whooosshhh effects. This looks more sincere. Btw, I'm waiting for the picture of the suitcase to be inserted again, it says that the dates that were first shown have been edited",said unedited better one highlight highlight explosive whoooshh whooosshhh effect look sincere btw im waiting picture suitcase inserted say date first shown edited
i tot may part 4 pa teleserye yorn,11/19/2025,I still have part 4 of the teleserye Yorn,still part 4 teleserye yorn
"Sir mag labas kana Ng bagong video, at my ebidensya",11/19/2025,"Sir, release a new video, and my evidence",sir release new video evidence
Kumusta naman ang kilay mo zaldy,11/19/2025,"How are your eyebrows, Zaldy?",eyebrow zaldy
You are guilty but I hope you are alive until the day na mapatunayan ang most guilty.,11/20/2025,You are guilty but I hope you are alive until the day na mapatunayan ang most guilty.,guilty hope alive day na mapatunayan ang guilty
SINA SABING EIBOR IE KA DAW YUN PALUSOT NILA DAPAT MAG LIVE KA,11/19/2025,THEY SAID YOU'RE EIBOR IE THAT'S THEIR EXCUSE YOU SHOULD BE LIVE,said youre eibor ie thats excuse live
Bat naman sobrang payat mo jan mali ang nagamit na katawan ng AI,11/19/2025,"You're so thin, the AI ​​body was used wrong",youre thin ai body used wrong
Ibunyag mo na ang lahat andyan ka na eh if sa iyo pang manggagaling atleast 1st. Hand info,11/24/2025,Reveal everything and you will be there if it comes from you at least 1st. Hand info,reveal everything come least 1st hand info
Sabihin nyo po lahat pagkidnap kay fprrd at pag pa bayad s mga congresista para s impeachment complain ni vp sabihin nyo npo lahat.. bago kapa nila mahanap,11/19/2025,Tell everyone about the kidnapping of fprrd and the payment to congressmen for vp's impeachment complaint tell everyone.. before they find you,tell everyone kidnapping fprrd payment congressman vps impeachment complaint tell everyone find
"Nasimulan mo din naman, isiwalat na lahat kung anong nalalaman mo sa ginastos sa pagdukot KY fprrd, ang issue sa impeachment signing ni Sara. People may at your side congressman",11/19/2025,"You have also started, revealing everything you know about the money spent on the abduction of KY fprrd, the issue in Sara's impeachment signing. People have on your side congressman",also started revealing everything know money spent abduction ky fprrd issue saras impeachment signing people side congressman
gamitin mo lahat ng nalalaman mo sa corruption..... ilabas muna lahat bago mahuli ang halat .... ibigay mo sa pwed pagkatiwalaan ang lahat ng ebedensya.. tapus magpaka layo2x kana . magpa retoke ka para di kana mahuli ..,11/24/2025,use everything you know about corruption..... bring everything out first before the obvious is caught.... give all the evidence to the pwed who can be trusted.. then get away with it. Retouch it so you don't get caught..,use everything know corruption bring everything first obvious caught give evidence pwed trusted get away retouch dont get caught
Sir hindi sila satisfied..make it live po....,11/20/2025,Sir they are not satisfied.. please make it live....,sir satisfied please make live
kailangan na natin talaga ang avatar!!,11/19/2025,we really need the avatar!!,really need avatar
"Salamat sa pagbulgar mo, Cong. Zaldy. May the Lord Almighty protect you",11/19/2025,"Thanks for your exposure, Cong. Zaldy. May the Lord Almighty protect you",thanks exposure cong zaldy may lord almighty protect
NAUNSA NAMAN TA ANIIIII,11/19/2025,HOW ARE WE HERE?,
56B pautang Naman Po,11/19/2025,56B loan,56b loan
Anteh kler Ang babaeng walang pahinga pasok,11/19/2025,Anteh kler The girl who doesn't have a break in school,anteh kler girl doesnt break school
Mag live ka ! Sasabihin na nmn ng mga alagad ni BBM na AI Yan,11/19/2025,Go live! BBM's disciples will say AI Yan,go live bbms disciple say ai yan
Next and matinding evidensya yun wla silabg maikatwiran..,11/19/2025,Next and severe evictence is not bad savage..,next severe evictence bad savage
"Mas mawala Ang Galit nang mga taong bayan sayo zaldy co, pag masabi ka nang too ug ipakita lahat nang ebidensya,,na Hindi mahibalaan ni ante kler",11/19/2025,"The anger of the townspeople against you zaldy co will disappear more, if you can tell the truth and show all the evidence, that Ante Kler will not know",anger townspeople zaldy co disappear tell truth show evidence ante kler know
"I believe him. In my opinion, no one in their right mind could pull off something this massive without powerful people backing like, Marcos and Romualdez. Sila may means and authority to do this massive scam, and can easily find excuses if things like these happen. For them, he was the easiest scapegoat.",11/20/2025,"I believe him. In my opinion, no one in their right mind could pull off something this massive without powerful people backing like, Marcos and Romualdez. Sila may means and authority to do this massive scam, and can easily find excuses if things like these happen. For them, he was the easiest scapegoat.",believe opinion one right mind could pull something massive without powerful people backing like marcos romualdez sila may mean authority massive scam easily find excuse thing like happen easiest scapegoat
Zal D. Punk,11/19/2025,Will D. Punk,punk
Wala parin new video Po Meron napo ultimatum sa inyo Hanggang lunes Po kaya dapat inupload nyo na lahat Po,11/23/2025,"There is still no new video. We have an ultimatum for you until Monday, so you should upload everything",still new video ultimatum monday upload everything
Kung totoo yan sinasabi mo umuwi ka,11/19/2025,If that's true you say go home,thats true say go home
Mr Zaldy Co.. kung totoo ang sinasabi mo dapat Hindi mo ito binabasa..,11/19/2025,Mr Zaldy Co.. if what you say is true you must not be reading this..,mr zaldy co say true must reading
Kulong ka pa din!!!,11/19/2025,Kulong is not in the field!!!,kulong field
Walang binggit na malemaletang pera ang dinala nya kung di brown leather bag lng..,11/19/2025,He didn't bring much money except for a brown leather bag..,didnt bring much money except brown leather bag
Oo nga live napo kasi binabaliktad pa dami pa nila lusot,11/19/2025,"Yes, it's live because they're still turning it around and they're still getting through",yes live theyre still turning around theyre still getting
Rep Rep. Zaldy Co 100% maniniwala ako kung sinabi mong nakinabang ka rin. Yung mga unang kumante umamin sila na nakinabang sila pero ikaw hindi? Parang imposible un sayo. Alangan bagman ka lang. Yung ibang nasabi mo maaring totoo kasi tugma sa sinabi ng iba,11/21/2025,Rep. Rep. Zaldy Co I would 100% believe if you said you benefited too. The first people who commented admitted that they benefited but you didn't? It seems impossible to you. Even if it's just you. What you said may be true because it matches what others said,rep rep zaldy co would 100 believe said benefited first people commented admitted benefited didnt seems impossible even said may true match others said
Ilan kya kinita ki meta? Hinati hati tlga video para pagkakitaan. Pero ang good side isiniwalat ang baho ng mga sangkot. Wag sunod sunod pag post ng video baka matunton ka agad,11/19/2025,"How much did you earn in meta? Split the video to make money. But the good side revealed the stench of those involved. Don't post videos one after the other, you might be tracked down right away",much earn meta split video make money good side revealed stench involved dont post video one might tracked right away
Mas dali kang patahimikin kung uuwi ka..lalong madidiin ka.kasi cla ang batas..remember noong pres c apo lakay sa panahon nya.taypa c ninoy.. maraming pag bintangan kasi galit daw taong bayan.,11/19/2025,It's easier to silence you if you go home.. you will be more stressed. because the law is cla.. remember when the president c apo lakay in his time. taypa c ninoy.. there are many accusations because they say the people are angry.,easier silence go home stressed law cla remember president c apo lakay time taypa c ninoy many accusation say people angry
Fake ka,11/19/2025,Fake then,fake
Bakit may binabasa,11/19/2025,Why is someone reading?,someone reading
Wag ka uuwi naku magiging airport ka,11/21/2025,"Don't go home, you'll end up at the airport",dont go home youll end airport
"Good evening po, pwede po bang humingi ng tulong for medical assistance/hospital bill po? maraming salamat po.",11/19/2025,"Good evening, can I ask for help for medical assistance/hospital bill? thank you very much",good evening ask help medical assistancehospital bill thank much
Labanan mo Yan Cong para SA bansa Natin KO bulgar mo LAHAT parang awa mo SA bayan Ng pilipinas Cong ilabas mo xong,11/19/2025,"Fight that Cong for OUR country, you are vulgar EVERYTHING as if you have mercy on the people of the Philippines, get Cong out xong",fight cong country vulgar everything mercy people philippine get cong xong
"Sinasabi nila AI, Ang galing mag tagalog",11/19/2025,"They say AI, Tagalog is good",say ai tagalog good
"Tama yan magpaka totoo kalang lahat naman ng tao nagkakamali atlis itinatama mo, dyos nga nagpapatawag tao pa kaya.",11/19/2025,"That's right, let's face it, everyone makes mistakes and when you correct them, God still calls people.",thats right let face everyone make mistake correct god still call people
Ilabas mo na din katotohanan ng pag pa kidnap nio kay PRRD,11/19/2025,Bring out the truth about the kidnapping of PRRD,bring truth kidnapping prrd
mag live po kayo sir!para di masabi ni ante kler na AI.,11/19/2025,please go live sir! so that ante kler can't say it's AI.,please go live sir ante kler cant say ai
"ilaglag mo na lahat hanggat maaari. Kapag hindi mo nagawa yan, ikaw lng at ang pamilya mo ang masusunog sa ginawa ninyong apoy.",11/19/2025,"drop everything as much as possible. If you don't do that, only you and your family will burn in the fire you made.",drop everything much possible dont family burn fire made
Tama yan kumanta kana para makakuha ka nang Aguinaldo,11/20/2025,"That's right, sing that song to get Aguinaldo",thats right sing song get aguinaldo
Naniniwala ako si ate kler ang AI na sinungaling.,11/19/2025,I believe sister Claire is the AI ​​liar.,believe sister claire ai liar
"todo mo na cong habang may boses ka pa, mahirap yan pinatatagal mo nakakabuo lang sila ng script",11/22/2025,"do it all while you still have a voice, it's hard if you make them take so long they can only develop a script",still voice hard make take long develop script
Isauli mo lahat ng ninakaw mo para maniwala ang tao sayo.,11/19/2025,Return everything you stole so that people will believe in you.,return everything stole people believe
Wag Kang magbasa sa script po para maniwala ako sau,11/19/2025,Don't read the script to make me believe you,dont read script make believe
HINDI TO A. I.,11/19/2025,HINDI TO A. I.,hindi
Pakilabas na po ng susunod na episode nito. Lahat ng hawak mo ilabas mo na. Ng matuldukan na ang problema ng pinas ngayon. Rep. Zaldy Co,11/20/2025,Please release the next episode. Take out everything you're holding. The problem of the Philippines is now at its peak. Rep. Zaldy Co,please release next episode take everything youre holding problem philippine peak rep zaldy co
"Cong. Sir Zaldy co. Ilabas muna lahat may Warrant kana. Dalawa lang yan Pilipinas o Marcos,Remualdes. Nolaglag kana nila. Pilipino tayo alam ko ang Tama At Mali. Tanggapin mo yong pagkakamali mo. Para sa mga Pilipino. Lahi na natin yon naka alalay dito Pilipino.",11/22/2025,"Cong. Sir Zaldy co. Let everyone out with a warrant first. There are only two Philippines or Marcos, Remualdes. They dropped it. We are Filipinos, I know Right and Wrong. Accept your mistake. For Filipinos. It's our race that's rooted here in the Philippines.",cong sir zaldy co let everyone warrant first two philippine marcos remualdes dropped filipino know right wrong accept mistake filipino race thats rooted philippine
"Rep. Zaldy Co wag muna po himay himayin, deritsohin nyo na, ilabas nyo na lahat bago pa mahuli ang lahat, at taong bayan na sa pinas ang bahala pag pilit parin nilang pinag takpan ang KAGAGUHAN NA GINAGAWA NILA",11/20/2025,"Rep. Zaldy Co, don't make a fuss, get it straight, get it all out before everyone gets caught, and the people of the Philippines will take care if they still try to cover up the AWESOME THEY ARE DOING",rep zaldy co dont make fuss get straight get everyone get caught people philippine take care still try cover awesome
"IMAGINE — Ipagpapalagay natin na ang ₱100 bilyon ay lahat nasa pinakamalalaking perang papel (₱1,000), ang kabuuang bigat ng perang papel ay aabot sa 100 metriko tonelada. Dahil ang isang karaniwang armored cash-in-transit truck ay kayang magdala ng humigit-kumulang 5 metriko toneladang karga, nangangahulugan na kakailanganin mo ng 20 armored trucks para dalhin ang lahat ng perang ito.",11/19/2025,"IMAGINE — Let's assume that the ₱100 billion is all in the largest banknote (₱1,000), the total weight of the banknote will reach 100 metric tons. Since a typical armored cash-in-transit truck can carry about 5 metric tons of cargo, that means you would need 20 armored trucks to transport all this money.",imagine let assume 100 billion largest banknote 1000 total weight banknote reach 100 metric ton since typical armored cashintransit truck carry 5 metric ton cargo mean would need 20 armored truck transport money
Magsama na kayong tatlo sa selda ang kapal Ng mga Mukha nyo,11/19/2025,The three of you are together in the cell with the thickness of your faces,three together cell thickness face
Laban para sa bayan,11/19/2025,Fight for the people,fight people
#part4video,11/23/2025,#part4video,part4video
"God bless you, Cong! Sana bumawi ka sa sambayanang Pilipino... Sana ingatan ka ng Panginoon.",11/19/2025,"God bless you, Cong! I hope you recover from the Filipino people... I hope the Lord will protect you.",god bless cong hope recover filipino people hope lord protect
